File,Stato,Totale feature,Feature invalide
Abruzzo\I336_SANT`EUSANIO FORCONESE_ple.gml,Valido,6545,0
Abruzzo\I348_SANT`OMERO_ple.gml,Valido,12188,0
Abruzzo\I360_S STEFANO DI SESSANIO_ple.gml,Valido,8516,0
Abruzzo\I376_S VALENTINO ABRUZZO CIT_ple.gml,Valido,9954,0
Abruzzo\I389_S VINCENZO VALLE ROVETO_ple.gml,Valido,13852,0
Abruzzo\I394_SAN VITO CHIETINO_ple.gml,Contiene geometrie invalide,14126,1
Abruzzo\I482_SCAFA_ple.gml,Valido,8322,0
Abruzzo\I501_SCANNO_ple.gml,Valido,12407,0
Abruzzo\I520_SCERNI_ple.gml,Valido,18275,0
Abruzzo\I526_SCHIAVI DI ABRUZZO_ple.gml,Valido,43469,0
Abruzzo\I543_SCONTRONE_ple.gml,Contiene geometrie invalide,9595,2
Abruzzo\I546_SCOPPITO_ple.gml,Contiene geometrie invalide,13694,1
Abruzzo\I553_SCURCOLA MARSICANA_ple.gml,Valido,11541,0
Abruzzo\I558_SECINARO_ple.gml,Valido,11404,0
Abruzzo\I649_SERRAMONACESCA_ple.gml,Valido,9553,0
Abruzzo\I741_SILVI_ple.gml,Valido,13959,0
Abruzzo\I804_SULMONA_ple.gml,Valido,30282,0
Abruzzo\I922_SPOLTORE_ple.gml,Valido,19086,0
Abruzzo\L025_TAGLIACOZZO_ple.gml,Valido,32608,0
Abruzzo\L047_TARANTA PELIGNA_ple.gml,Valido,4009,0
Abruzzo\L103_TERAMO_ple.gml,Contiene geometrie invalide,63583,1
Abruzzo\L173_TIONE DEGLI ABRUZZI_ple.gml,Contiene geometrie invalide,18811,1
Abruzzo\L186_TOCCO DA CASAURIA_ple.gml,Valido,14011,0
Abruzzo\L194_TOLLO_ple.gml,Valido,15116,0
Abruzzo\L207_TORANO NUOVO_ple.gml,Valido,5246,0
Abruzzo\L218_TORINO DI SANGRO_ple.gml,Valido,16144,0
Abruzzo\L224_TORNARECCIO_ple.gml,Valido,24087,0
Abruzzo\L227_TORNIMPARTE_ple.gml,Contiene geometrie invalide,23121,2
Abruzzo\L253_TORREBRUNA_ple.gml,Contiene geometrie invalide,10764,1
Abruzzo\L263_TORRE DE` PASSERI_ple.gml,Valido,4898,0
Abruzzo\L284_TORREVECCHIA TEATINA_ple.gml,Valido,11820,0
Abruzzo\L291_TORRICELLA PELIGNA_ple.gml,Valido,26173,0
Abruzzo\L295_TORRICELLA SICURA_ple.gml,Contiene geometrie invalide,17308,2
Abruzzo\L307_TORTORETO_ple.gml,Contiene geometrie invalide,14729,1
Abruzzo\L314_TOSSICIA_ple.gml,Valido,9684,0
Abruzzo\L334_TRASACCO_ple.gml,Valido,14871,0
Abruzzo\L363_TREGLIO_ple.gml,Valido,6591,0
Abruzzo\L459_TUFILLO_ple.gml,Valido,8143,0
Abruzzo\L475_TURRIVALIGNANI_ple.gml,Valido,4258,0
Abruzzo\L526_VACRI_ple.gml,Valido,7365,0
Abruzzo\L597_VALLE CASTELLANA_ple.gml,Valido,28240,0
Abruzzo\L846_VICOLI_ple.gml,Valido,5379,0
Abruzzo\L922_VILLA CELIERA_ple.gml,Valido,5734,0
Abruzzo\L958_VILLALAGO_ple.gml,Contiene geometrie invalide,11638,1
Abruzzo\L961_VILLALFONSINA_ple.gml,Valido,5301,0
Abruzzo\L964_VILLAMAGNA_ple.gml,Valido,8965,0
Abruzzo\M021_VILLA S LUCIA D ABRUZZI_ple.gml,Valido,7338,0
Abruzzo\M022_VILLA SANTA MARIA_ple.gml,Valido,11405,0
Abruzzo\M023_VILLA SANT`ANGELO_ple.gml,Valido,4412,0
Abruzzo\M031_VILLAVALLELONGA_ple.gml,Valido,17075,0
Abruzzo\M041_VILLETTA BARREA_ple.gml,Valido,3943,0
Abruzzo\M090_VITTORITO_ple.gml,Valido,10394,0
Abruzzo\M255_MOLINA ATERNO_ple.gml,Valido,11452,0
Basilicata\A013_ABRIOLA_ple.gml,Valido,14595,0
Basilicata\A017_ACCETTURA_ple.gml,Valido,11059,0
Basilicata\A020_ACERENZA_ple.gml,Valido,14654,0
Basilicata\A131_ALBANO DI LUCANIA_ple.gml,Contiene geometrie invalide,8607,1
Basilicata\A196_ALIANO_ple.gml,Valido,15293,0
Basilicata\A321_ANZI_ple.gml,Contiene geometrie invalide,9307,1
Basilicata\A415_ARMENTO_ple.gml,Valido,14460,0
Basilicata\A482_ATELLA_ple.gml,Valido,14996,0
Basilicata\A519_AVIGLIANO_ple.gml,Valido,40558,0
Basilicata\A604_BALVANO_ple.gml,Valido,10663,0
Basilicata\A612_BANZI_ple.gml,Contiene geometrie invalide,9597,1
Basilicata\A615_BARAGIANO_ple.gml,Valido,10942,0
Basilicata\A666_BARILE_ple.gml,Valido,10520,0
Basilicata\A743_BELLA_ple.gml,Contiene geometrie invalide,19606,3
Basilicata\A801_BERNALDA_ple.gml,Valido,25956,0
Basilicata\A942_NOVA SIRI_ple.gml,Valido,12300,0
Basilicata\B173_BRIENZA_ple.gml,Contiene geometrie invalide,32265,5
Basilicata\B181_BRINDISI MONTAGNA_ple.gml,Valido,7912,0
Basilicata\B391_CALCIANO_ple.gml,Valido,4875,0
Basilicata\B440_CALVELLO_ple.gml,Valido,11801,0
Basilicata\B443_CALVERA_ple.gml,Valido,5735,0
Basilicata\B549_CAMPOMAGGIORE_ple.gml,Valido,2976,0
Basilicata\B580_CANCELLARA_ple.gml,Contiene geometrie invalide,11875,2
Basilicata\B743_CARBONE_ple.gml,Valido,9113,0
Basilicata\B906_SAN PAOLO ALBANESE_ple.gml,Valido,4814,0
Basilicata\C120_CASTELGRANDE_ple.gml,Valido,9439,0
Basilicata\C199_CASTELLUCCIO INFERIORE_ple.gml,Valido,17580,0
Basilicata\C201_CASTELLUCCIO SUPERIORE_ple.gml,Valido,10824,0
Basilicata\C209_CASTELMEZZANO_ple.gml,Valido,9036,0
Basilicata\C271_CASTELSARACENO_ple.gml,Valido,13248,0
Basilicata\C345_CASTRONUOVO SANT`ANDREA_ple.gml,Contiene geometrie invalide,13926,1
Basilicata\C539_CERSOSIMO_ple.gml,Valido,3758,0
Basilicata\C619_CHIAROMONTE_ple.gml,Contiene geometrie invalide,14522,2
Basilicata\C723_CIRIGLIANO_ple.gml,Valido,5300,0
Basilicata\C888_COLOBRARO_ple.gml,Valido,8069,0
Basilicata\D010_CORLETO PERTICARA_ple.gml,Valido,22948,0
Basilicata\D128_CRACO_ple.gml,Valido,5425,0
Basilicata\D414_EPISCOPIA_ple.gml,Valido,10697,0
Basilicata\D497_FARDELLA_ple.gml,Valido,6055,0
Basilicata\D513_VALSINNI_ple.gml,Valido,7558,0
Basilicata\D547_FERRANDINA_ple.gml,Valido,23641,0
Basilicata\D593_FILIANO_ple.gml,Valido,20724,0
Basilicata\D696_FORENZA_ple.gml,Valido,16265,0
Basilicata\D766_FRANCAVILLA IN SINNI_ple.gml,Contiene geometrie invalide,14754,1
Basilicata\D876_GALLICCHIO_ple.gml,Valido,7769,0
Basilicata\D909_GARAGUSO_ple.gml,Valido,5350,0
Basilicata\D971_GENZANO DI LUCANIA_ple.gml,Valido,23587,0
Basilicata\E033_GINESTRA_ple.gml,Valido,5415,0
Basilicata\E093_GORGOGLIONE_ple.gml,Contiene geometrie invalide,7650,1
Basilicata\E147_GRASSANO_ple.gml,Valido,13423,0
Basilicata\E213_GROTTOLE_ple.gml,Valido,12737,0
Basilicata\E221_GRUMENTO NOVA_ple.gml,Contiene geometrie invalide,22949,1
Basilicata\E246_GUARDIA PERTICARA_ple.gml,Contiene geometrie invalide,9784,1
Basilicata\E326_IRSINA_ple.gml,Valido,21465,0
Basilicata\E409_LAGONEGRO_ple.gml,Valido,14856,0
Basilicata\E474_LATRONICO_ple.gml,Valido,40504,0
Basilicata\E482_LAURENZANA_ple.gml,Valido,10645,0
Basilicata\E483_LAURIA_ple.gml,Valido,72856,0
Basilicata\E493_LAVELLO_ple.gml,Valido,23488,0
Basilicata\E919_MARATEA_ple.gml,Valido,28232,0
Basilicata\E976_MARSICO NUOVO_ple.gml,Contiene geometrie invalide,42060,1
Basilicata\E977_MARSICOVETERE_ple.gml,Contiene geometrie invalide,15732,1
Basilicata\F006_MASCHITO_ple.gml,Contiene geometrie invalide,8603,1
Basilicata\F052_MATERA_ple.gml,Valido,57767,0
Basilicata\F104_MELFI_ple.gml,Valido,38012,0
Basilicata\F201_MIGLIONICO_ple.gml,Valido,11859,0
Basilicata\F249_MISSANELLO_ple.gml,Valido,6551,0
Basilicata\F295_MOLITERNO_ple.gml,Contiene geometrie invalide,19254,2
Basilicata\F399_MONTALBANO IONICO_ple.gml,Valido,18989,0
Basilicata\F568_MONTEMILONE_ple.gml,Contiene geometrie invalide,10347,1
Basilicata\F573_MONTEMURRO_ple.gml,Contiene geometrie invalide,10788,2
Basilicata\F637_MONTESCAGLIOSO_ple.gml,Contiene geometrie invalide,29510,3
Basilicata\F817_MURO LUCANO_ple.gml,Valido,36757,0
Basilicata\F866_NEMOLI_ple.gml,Valido,8289,0
Basilicata\F917_NOEPOLI_ple.gml,Contiene geometrie invalide,6706,2
Basilicata\G037_OLIVETO LUCANO_ple.gml,Contiene geometrie invalide,6639,1
Basilicata\G081_OPPIDO LUCANO_ple.gml,Valido,13313,0
Basilicata\G261_PALAZZO SAN GERVASIO_ple.gml,Valido,11147,0
Basilicata\G496_PESCOPAGANO_ple.gml,Valido,13110,0
Basilicata\G590_PICERNO_ple.gml,Valido,20978,0
